stock1,stock2,total_pnl,trades
COP,EOG,-24.055000000000106,445
COP,FANG,-140.42999999999967,454
COP,APA,-69.8249999999997,510
COP,CTRA,-97.97500000000008,504
EOG,SLB,-101.92499999999998,472
EOG,HAL,-83.4150000000001,478
EOG,FANG,-39.964999999999876,465
EOG,APA,-49.170000000000144,475
EOG,CTRA,-46.76000000000019,516
EOG,EQT,-151.80000000000007,496
SLB,OXY,-72.7550000000001,462
SLB,HAL,-20.159999999999954,456
SLB,APA,-26.260000000000073,417
SLB,CTRA,-64.285,518
MPC,PSX,-77.59999999999984,529
MPC,VLO,-25.660000000000025,478
MPC,FANG,-133.80500000000015,496
MPC,BKR,-32.310000000000024,480
MPC,APA,-79.97499999999977,485
MPC,CTRA,-112.83999999999976,474
MPC,EQT,-209.55999999999986,507
PSX,VLO,-44.31999999999983,467
PSX,FANG,-125.88500000000016,526
PSX,BKR,-144.46500000000023,475
PSX,CTRA,-184.5100000000002,530
VLO,FANG,-174.36500000000012,485
VLO,BKR,-40.129999999999896,496
VLO,APA,-140.03000000000014,514
VLO,CTRA,-150.315,514
VLO,EQT,-174.2399999999999,504
OXY,HAL,-61.04499999999999,499
OXY,APA,-21.069999999999908,501
OXY,CTRA,-60.53000000000004,496
HAL,APA,-30.435000000000034,443
HAL,CTRA,-53.284999999999904,507
DVN,APA,-71.32999999999998,481
DVN,CTRA,-63.22000000000014,507
FANG,BKR,29.514999999999723,472
FANG,APA,-161.60000000000014,490
FANG,CTRA,-181.39499999999992,478
FANG,EQT,-198.24999999999983,488
BKR,CTRA,-46.375000000000114,474
BKR,EQT,-29.340000000000018,508
APA,CTRA,-56.59999999999996,520
CTRA,EQT,-16.554999999999932,482
