rank,stock1,stock2,entry_threshold_sd,gross_pnl,total_costs,net_pnl,sharpe_ratio,max_drawdown,trades
1,EOG,XOM,1.50,18.028718948364308,0.03839999999999999,17.99031894836431,0.6264,2.5469,48
2,SLB,APA,1.50,7.545067787170388,0.04319999999999996,7.501867787170388,0.3370,6.2414,54
3,DVN,FANG,1.50,11.52032089233392,0.037599999999999995,11.482720892333921,0.2714,10.1834,47
4,COP,FANG,1.50,6.416028976440523,0.04319999999999996,6.372828976440523,0.1980,4.2961,54
5,EOG,FANG,1.50,7.158616065979023,0.03839999999999999,7.120216065979022,0.1925,7.4005,48
6,HAL,APA,1.50,2.149651527404798,0.047199999999999936,2.102451527404798,0.1233,2.9023,59
7,XOM,FANG,1.50,2.4595909118651913,0.028800000000000023,2.4307909118651914,0.1140,4.1832,36
8,COP,FANG,2.00,0,0,0,0.0000,0.0000,0
9,EOG,XOM,2.00,0,0,0,0.0000,0.0000,0
10,EOG,FANG,2.00,0,0,0,0.0000,0.0000,0
11,XOM,FANG,2.00,0,0,0,0.0000,0.0000,0
12,CVX,MPC,2.00,0,0,0,0.0000,0.0000,0
13,CVX,FANG,2.00,0,0,0,0.0000,0.0000,0
14,SLB,HAL,2.00,0,0,0,0.0000,0.0000,0
15,SLB,APA,2.00,0,0,0,0.0000,0.0000,0
16,MPC,PSX,2.00,0,0,0,0.0000,0.0000,0
17,PSX,VLO,2.00,0,0,0,0.0000,0.0000,0
18,HAL,APA,2.00,0,0,0,0.0000,0.0000,0
19,DVN,FANG,2.00,0,0,0,0.0000,0.0000,0
20,CVX,FANG,1.50,-2.1506729125976722,0.047199999999999936,-2.1978729125976724,-0.0379,18.8278,59
21,CVX,MPC,1.50,-6.546552658081019,0.03839999999999999,-6.584952658081019,-0.1096,19.8911,48
22,MPC,PSX,1.50,-4.509077072143598,0.037599999999999995,-4.5466770721435985,-0.1576,8.8870,47
23,PSX,VLO,1.50,-8.176494598388668,0.0368,-8.213294598388668,-0.2279,11.9833,46
24,SLB,HAL,1.50,-8.446582794189446,0.04639999999999994,-8.492982794189446,-0.5722,9.4672,58
